Timestamp,Wind Speed (m/s),AC Power (MW),DC Power (MW),Generator Output (MW)
2025-06-25 00:00:00-06:00,9.748553073529784,371.17041904413816,378.745325555243,390.45909851055984
2025-06-25 00:05:00-06:00,11.397465982589148,461.86062904240316,471.28635616571756,485.86222285125524
2025-06-25 00:10:00-06:00,8.263354586746175,289.4845022710396,295.3923492561629,304.5281951094463
2025-06-25 00:15:00-06:00,10.754290661202946,426.485986366162,435.1897820062878,448.64925980029676
2025-06-25 00:20:00-06:00,10.51010930992565,413.0560120459108,421.48572657746,434.5213676056289
2025-06-25 00:25:00-06:00,10.172427376641679,394.4835057152924,402.53418950540043,414.9837005210314
2025-06-25 00:30:00-06:00,9.577171583018938,361.7444370660416,369.1269765980016,380.5432748433006
2025-06-25 00:35:00-06:00,11.764842140429753,482.0663177236365,491.9044058404454,507.11794416540766
2025-06-25 00:40:00-06:00,10.867262712117505,432.6994491664628,441.53005016986003,455.1856187318145
2025-06-25 00:45:00-06:00,8.59745042108623,307.85977315974264,314.14262567320674,323.8583769826874
2025-06-25 00:50:00-06:00,11.344153867557802,458.92846271567913,468.29434970987666,482.7776801132749
2025-06-25 00:55:00-06:00,11.459281597290264,465.2604878509646,474.75559984792307,489.4387627298176
2025-06-25 01:00:00-06:00,10.498431114144825,412.41371127796543,420.830317630577,433.8456882789454
2025-06-25 01:05:00-06:00,12.031972352357988,495.0,505.10204081632656,520.7237534188934
2025-06-25 01:10:00-06:00,11.035334568552848,441.9434012704066,450.96265435755777,464.90995294593586
2025-06-25 01:15:00-06:00,11.802597401234049,484.14285706787274,494.0233235386457,509.30239540066566
2025-06-25 01:20:00-06:00,11.018932735159648,441.0413004337807,450.0421432997762,463.96097247399615
2025-06-25 01:25:00-06:00,11.28341953884243,455.5880746363337,464.88579044523846,479.2637014899366
2025-06-25 01:30:00-06:00,11.124376599235337,446.84071295794354,455.9599111815751,470.0617641047166
2025-06-25 01:35:00-06:00,10.112973795630952,391.2135587597024,399.19750893847186,411.54382364790916
2025-06-25 01:40:00-06:00,14.141730490161182,495.0,505.10204081632656,520.7237534188934
2025-06-25 01:45:00-06:00,13.734452373092937,495.0,505.10204081632656,520.7237534188934
2025-06-25 01:50:00-06:00,12.489203180907802,495.0,505.10204081632656,520.7237534188934
2025-06-25 01:55:00-06:00,13.523763202157745,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:00:00-06:00,13.04123031588136,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:05:00-06:00,12.131361191954253,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:10:00-06:00,13.589153639324381,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:15:00-06:00,13.89461455595761,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:20:00-06:00,12.167678061384498,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:25:00-06:00,13.409420220878145,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:30:00-06:00,12.416393306133617,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:35:00-06:00,13.74953574348962,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:40:00-06:00,12.06371162664732,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:45:00-06:00,14.485362535442862,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:50:00-06:00,12.240157712919666,495.0,505.10204081632656,520.7237534188934
2025-06-25 02:55:00-06:00,12.906148829952622,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:00:00-06:00,14.06322167739457,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:05:00-06:00,13.97941567275475,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:10:00-06:00,13.184393406842194,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:15:00-06:00,14.436069070870444,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:20:00-06:00,14.280157453636622,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:25:00-06:00,14.572880557037589,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:30:00-06:00,13.629389708726254,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:35:00-06:00,14.367958543122008,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:40:00-06:00,12.874630214558358,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:45:00-06:00,14.492341440703589,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:50:00-06:00,13.59462542978251,495.0,505.10204081632656,520.7237534188934
2025-06-25 03:55:00-06:00,16.19507077373904,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:00:00-06:00,13.734134861935384,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:05:00-06:00,13.500416538415868,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:10:00-06:00,13.454099369202995,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:15:00-06:00,14.760183957695412,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:20:00-06:00,13.51337089348645,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:25:00-06:00,14.354000207384646,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:30:00-06:00,12.999721427772016,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:35:00-06:00,14.455619281157386,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:40:00-06:00,14.756761812908739,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:45:00-06:00,15.243089276805868,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:50:00-06:00,15.95050370560343,495.0,505.10204081632656,520.7237534188934
2025-06-25 04:55:00-06:00,15.045589536543517,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:00:00-06:00,15.486641502920655,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:05:00-06:00,14.273691706959264,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:10:00-06:00,15.420860002090553,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:15:00-06:00,13.236188764766592,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:20:00-06:00,15.070384007631544,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:25:00-06:00,15.615666725326376,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:30:00-06:00,15.367703365557732,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:35:00-06:00,13.937117989702761,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:40:00-06:00,17.836372191011733,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:45:00-06:00,13.71217693728833,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:50:00-06:00,14.461930674266457,495.0,505.10204081632656,520.7237534188934
2025-06-25 05:55:00-06:00,14.120674549554789,495.0,505.10204081632656,520.7237534188934
