Timestamp,AC Power (MW),DC Power (MW)
2025-06-25 00:00:00-06:00,0.0,0.0
2025-06-25 00:05:00-06:00,0.0,0.0
2025-06-25 00:10:00-06:00,0.0,0.0
2025-06-25 00:15:00-06:00,0.0,0.0
2025-06-25 00:20:00-06:00,0.0,0.0
2025-06-25 00:25:00-06:00,0.0,0.0
2025-06-25 00:30:00-06:00,0.0,0.0
2025-06-25 00:35:00-06:00,0.0,0.0
2025-06-25 00:40:00-06:00,0.0,0.0
2025-06-25 00:45:00-06:00,0.0,0.0
2025-06-25 00:50:00-06:00,0.0,0.0
2025-06-25 00:55:00-06:00,0.0,0.0
2025-06-25 01:00:00-06:00,0.0,0.0
2025-06-25 01:05:00-06:00,0.0,0.0
2025-06-25 01:10:00-06:00,0.0,0.0
2025-06-25 01:15:00-06:00,0.0,0.0
2025-06-25 01:20:00-06:00,0.0,0.0
2025-06-25 01:25:00-06:00,0.0,0.0
2025-06-25 01:30:00-06:00,0.0,0.0
2025-06-25 01:35:00-06:00,0.0,0.0
2025-06-25 01:40:00-06:00,0.0,0.0
2025-06-25 01:45:00-06:00,0.0,0.0
2025-06-25 01:50:00-06:00,0.0,0.0
2025-06-25 01:55:00-06:00,0.0,0.0
2025-06-25 02:00:00-06:00,0.0,0.0
2025-06-25 02:05:00-06:00,0.0,0.0
2025-06-25 02:10:00-06:00,0.0,0.0
2025-06-25 02:15:00-06:00,0.0,0.0
2025-06-25 02:20:00-06:00,0.0,0.0
2025-06-25 02:25:00-06:00,0.0,0.0
2025-06-25 02:30:00-06:00,0.0,0.0
2025-06-25 02:35:00-06:00,0.0,0.0
2025-06-25 02:40:00-06:00,0.0,0.0
2025-06-25 02:45:00-06:00,0.0,0.0
2025-06-25 02:50:00-06:00,0.0,0.0
2025-06-25 02:55:00-06:00,0.0,0.0
2025-06-25 03:00:00-06:00,0.0,0.0
2025-06-25 03:05:00-06:00,0.0,0.0
2025-06-25 03:10:00-06:00,0.0,0.0
2025-06-25 03:15:00-06:00,0.0,0.0
2025-06-25 03:20:00-06:00,0.0,0.0
2025-06-25 03:25:00-06:00,0.0,0.0
2025-06-25 03:30:00-06:00,0.0,0.0
2025-06-25 03:35:00-06:00,0.0,0.0
2025-06-25 03:40:00-06:00,0.0,0.0
2025-06-25 03:45:00-06:00,0.0,0.0
2025-06-25 03:50:00-06:00,0.0,0.0
2025-06-25 03:55:00-06:00,0.0,0.0
2025-06-25 04:00:00-06:00,0.0,0.0
2025-06-25 04:05:00-06:00,0.0,0.0
2025-06-25 04:10:00-06:00,0.0,0.0
2025-06-25 04:15:00-06:00,0.0,0.0
2025-06-25 04:20:00-06:00,0.0,0.0
2025-06-25 04:25:00-06:00,0.0,0.0
2025-06-25 04:30:00-06:00,0.0,0.0
2025-06-25 04:35:00-06:00,0.0,0.0
2025-06-25 04:40:00-06:00,0.0,0.0
2025-06-25 04:45:00-06:00,0.0,0.0
2025-06-25 04:50:00-06:00,0.0,0.0
2025-06-25 04:55:00-06:00,0.0,0.0
2025-06-25 05:00:00-06:00,0.0,0.0
2025-06-25 05:05:00-06:00,0.0,0.0
2025-06-25 05:10:00-06:00,0.0,0.0
2025-06-25 05:15:00-06:00,0.0,0.0
2025-06-25 05:20:00-06:00,0.0,0.0
2025-06-25 05:25:00-06:00,0.0,0.0
2025-06-25 05:30:00-06:00,0.948255802034125,2.784252773685367e-05
2025-06-25 05:35:00-06:00,9.583551639736974,0.0001452219883140273
2025-06-25 05:40:00-06:00,29.566470614790255,0.0004175479409456537
2025-06-25 05:45:00-06:00,64.18760036494811,0.0008916977174117447
2025-06-25 05:50:00-06:00,113.37829633118244,0.0015705733646968084
2025-06-25 05:55:00-06:00,174.1822438839168,0.002418370179819665
2025-06-25 06:00:00-06:00,180.0,0.0033797380262187066
2025-06-25 06:05:00-06:00,180.0,0.004397647276906011
2025-06-25 06:10:00-06:00,180.0,0.005423873322080418
2025-06-25 06:15:00-06:00,180.0,0.006422707653263104
2025-06-25 06:20:00-06:00,180.0,0.007370567792486958
2025-06-25 06:25:00-06:00,180.0,0.008253820575267065
2025-06-25 06:30:00-06:00,180.0,0.009066220349887022
2025-06-25 06:35:00-06:00,180.0,0.009806612542497335
2025-06-25 06:40:00-06:00,180.0,0.010477120968145593
2025-06-25 06:45:00-06:00,180.0,0.011081817439706147
2025-06-25 06:50:00-06:00,180.0,0.011788449963489883
2025-06-25 06:55:00-06:00,180.0,0.013059932022077421
2025-06-25 07:00:00-06:00,180.0,0.014786150820461016
2025-06-25 07:05:00-06:00,180.0,0.016965426956508
2025-06-25 07:10:00-06:00,180.0,0.019585390791847592
2025-06-25 07:15:00-06:00,180.0,0.022625930296897294
2025-06-25 07:20:00-06:00,180.0,0.02606158898470208
2025-06-25 07:25:00-06:00,180.0,0.02986347996263722
2025-06-25 07:30:00-06:00,180.0,0.03400077216817322
2025-06-25 07:35:00-06:00,180.0,0.03844183290082237
2025-06-25 07:40:00-06:00,180.0,0.04315507941081248
2025-06-25 07:45:00-06:00,180.0,0.048109600168588576
2025-06-25 07:50:00-06:00,180.0,0.0532756009914897
2025-06-25 07:55:00-06:00,180.0,0.05862469923358135
2025-06-25 08:00:00-06:00,180.0,0.06413011890119764
2025-06-25 08:05:00-06:00,180.0,0.0697667905659423
2025-06-25 08:10:00-06:00,180.0,0.07551139961824409
2025-06-25 08:15:00-06:00,180.0,0.08134237568849086
2025-06-25 08:20:00-06:00,180.0,0.08723985940593956
2025-06-25 08:25:00-06:00,180.0,0.0931856375202851
